"ID","Sub","Key ","Value"
"W2",6,"task","Define a predicate as a function to booleans."
"W2",6,"task","Recognize free and bound variables."
"W2",6,"task","Interpret quantifiers over finite domains."
"W2",6,"task","Use precedence for quantifier statements."
"W2",6,"task","Negate predicates, apply De Morgan's laws."
"W2",7,"subsection",2.1
"W2",7,"title","Manipulate Sets and Functions"
"W2",7,"reading","Rosen2019, pp.121-131"
"W2",7,"video","https://youtu.be/jXxuwrAbpCU"
"W2",7,"task","Define set by listing elements or intervals."
"W2",7,"task","Define set by defining a predicate."
"W2",7,"task","Define subsets, proper subsets."
"W2",7,"task","Define pairs and other n-tuples."
"W2",7,"task","Define power sets."
"W2",7,"task","Reproduce Russel's paradox."
"W2",8,"subsection",2.5
"W2",8,"title","Compare Set Cardinalities"
"W2",8,"reading","Rosen2019, pp.179-186"
"W2",8,"video","https://youtu.be/WQWkG9cQ8NQ"
"W2",8,"task","Define injective functions between 2 sets."
"W2",8,"task","Define surjective functions between 2 sets."
"W2",8,"task","Prove that adding a finite set to a countable is countable."
"W2",8,"task","Union two positive integer sets."
"W2",8,"task","Union infinitely many integer sets."
"W3",9,"subsection",1.5
"W3",9,"title","Use Nested Quantifiers"
"W3",9,"reading","Rosen2019, pp.60-68"
"W3",9,"video","https://youtu.be/xDaBIVPyvDQ"
"W3",9,"task","Rewrite mathematical statements with nested quantifiers."
"W3",9,"task","Interpret quantifier expressions in human language."
"W3",9,"task","Negate multiple quantifiers."
"W3",10,"subsection",1.8
"W3",10,"title","Use Some More Proof Strategies"
"W3",10,"reading","NA"
"W3",10,"video","NA"
"W3",10,"task","Explain proofs by analyzing cases."
"W3",10,"task","Explain proofs by counterexamples."
"W3",10,"task","Introduce ""without loss of generality"" clauses."
"W3",10,"task","Explain nonconstructive proofs of existence."
"W3",11,"subsection",1.6
"W3",11,"title","Use Rules of Inference"
"W3",11,"reading","NA"
"W3",11,"video","NA"
"W3",11,"task","Recognize hypotheses and goals in a proof."
"W3",11,"task","Apply modus ponens: $A \rightarrow B,\, A \;\vdash\; B$"
"W3",11,"task","Apply modus tollens: $A \rightarrow B,\, (\neg B) \;\vdash\; (\neg A)$"
"W3",11,"task","Apply transitivity: $A \rightarrow B,\, B \rightarrow C \;\vdash\; A \rightarrow C$"
"W3",11,"task","Apply disjunctive syllogism: $A \vee B,\, \neg A \;\vdash\; B$"
"W3",11,"task","Apply ""addition"": $A \;\vdash\; A \vee B$"
"W3",11,"task","Apply ""simplification"": $(A \wedge B) \;\vdash\; A$"
"W3",11,"task","Apply ""conjunction"": $A,\, B \;\vdash\; (A \wedge B)$"
"W3",11,"task","Apply ""resolution"": $(A \vee B),\, (\neg A \vee C) \;\vdash\; (B \vee C)$"
"W4",12,"subsection",2.2
"W4",12,"title","Manipulate sets over some universe"
"W4",12,"reading","NA"
"W4",12,"video","NA"
"W4",12,"task","Define the union of two or more sets."
"W4",12,"task","Define the intersection of two or more sets."
"W4",12,"task","Define the complement of a set."
"W4",12,"task","Define the difference of two sets."
"W4",12,"task","Define the symmetric difference of sets."
"W4",12,"task","Draw Venn diagrams for 2, 3, 4 or 5 sets."
"W4",13,"subsection","2.X"
"W4",13,"title","Use Proof Strategies for Sets and Functions"
"W4",13,"reading","NA"
"W4",13,"video","NA"
"W4",13,"task","Explain proofs for 2 sets being different (conterexample)."
"W4",13,"task","Explain proofs for a function being bijective [Define bijections from monotonous continuous functions; Define bijections as variants of 1D Hilbert hotel. Define bijections as variants of 2D Hilbert hotel.]"
"W4",13,"task","Explain constructions by selecting minimum in a nonempty set."
"W4",13,"task","Explain proofs using invariants"
"W4",14,"subsection",3.1
"W4",14,"title","Describe algorithms for lists/arrays and their paradigms"
"W4",14,"reading","Rosen2019, pp.201-213"
"W4",14,"video","https://youtu.be/XnshTUaIpc8"
"W4",14,"video","https://youtu.be/4kVVhSy3kfA"
"W4",14,"video","https://youtu.be/GNGUziMQ4R4"
"W4",14,"video","https://youtu.be/kkgTu5kaIXw"
"W4",14,"task","Describe common characteristics of algorithms (mass problem, input, output, strictly defined steps, finite time)"
"W4",14,"task","Describe an algorithm to find maximum in a list of n with pseudocode."
"W4",14,"task","Describe linear search algorithm"
"W4",14,"task","Describe binary search algorithm"
"W4",14,"task","Describe the number of steps for binary search in a list of n elements"
"W4",14,"task","Describe bubble sort algorithm"
"W4",14,"task","Compute the number of steps for bubble sort"
"W4",14,"task","Describe the naive string matching algorithm"
"W4",14,"task","Compute the number of steps for string matching"
"W4",14,"task","Describe the greedy algorithm to pay the change with minimum coins."
"W4",14,"task","Prove that for the eurocent coins (1,2,5,10,20,50,100,200) greedy algorithm is optimal"
"W4",14,"task","Describe the greedy scheduling algorithm"
"W4",14,"task","Define the halting problem"
"W4",14,"task","Prove that the halting problem is algorithmically unsolvable"
"W4",15,"title","Define and use the big-O notation and related complexity measures"
"W4",15,"subsection",3.2
"W4",15,"reading","Rosen2019, pp.216-228"
"W4",15,"video","https://medium.com/@.RT/total-n00bs-guide-to-big-o-big-%CF%89-big-%CE%B8-aa259ae8a1c2"
"W4",15,"task","Define the big-O notation"
"W4",15,"task","Compare various elementary functions by their growth speed"
"W4",15,"task","Compute the big-O for sums and products of functions."
"W4",15,"task","Define big-Omega and big-Theta notations"
"W4",16,"title","Define and determine some algorithm complexity measures"
"W4",16,"reading","Rosen2019, pp.231-235"
"W4",16,"video","NA"
"W4",16,"task","Define time and space complexity for the given run of a program"
"W4",16,"task","Define worst-case and average time complexity"
